Bražec	-836477.912645	-1019525.12589
Doupovské Hradiště	-840489.318659	-1012235.02126
Žitovlice	-689145.426836	-1027034.5896
Kostelec	-848610.850308	-1072918.62732
Dřenice	-650162.069944	-1066648.08412
Lány	-651751.620794	-1070610.21907
Třibřichy	-650397.076716	-1068309.5285
Bítovany	-642881.233	-1076949.58115
Dolní Bezděkov	-641114.98713	-1070414.66974
Jenčice	-766011.585486	-994866.181909
Zápy	-723581.415409	-1037082.16389
Boží Dar	-847820.59388	-989822.302997
Nové Hamry	-859102.776268	-992466.03017
Čichalov	-829435.983948	-1026281.93208
Josefov	-871238.056816	-1009802.44599
Drnek	-773948.625164	-1025815.24047
Kamenný Most	-756054.541419	-1023636.17697
Lhota	-774304.068275	-1038364.94549
Hobšovice	-758446.006801	-1019310.91283
Malé Přítočno	-762990.174371	-1038052.83101
Dolany	-761577.317057	-1037722.09671
Polní Voděrady	-696164.816222	-1059778.19476
Ždánice	-706314.465778	-1060617.04314
Dománovice	-678090.94688	-1048667.70044
Zalešany	-701600.584752	-1055206.0537
Polní Chrčice	-680212.377536	-1048492.89427
Žabonosy	-700505.073525	-1054215.36781
Lipec	-676900.515607	-1051614.67506
Mrzky	-716212.175842	-1051527.96434
Přehvozdí	-713875.952083	-1054148.41849
Přistoupim	-711061.184293	-1051275.41556
Kbel	-692430.096366	-1060667.57667
Pašinka	-690267.667996	-1060225.90419
Chýnice	-755887.874246	-1052451.62156
Vestec	-738645.585862	-1055018.31485
Vysoký Újezd	-742950.780288	-1073450.50108
Dlouhá Lhota	-769785.40664	-1080103.93547
Velká Lečice	-754620.753539	-1072038.87266
Kotenčice	-771408.715896	-1078404.23248
Občov	-773819.162395	-1080906.53367
Klokočná	-723602.448775	-1060284.45489
Zlatá	-723314.111181	-1051014.61286
Urbanice	-649002.972816	-1044596.81428
Skalka u Doks	-722567.264261	-992042.960536
Luka	-720059.022197	-998348.43566
Ždírec	-722391.680621	-997525.311728
Pertoltice pod Ralskem	-713621.725446	-980856.815696
Rohozec	-676360.009043	-1064236.24786
Podveky	-706635.327212	-1077189.7107
Benešov	-728219.30958	-1078577.75129
Bystřice	-731175.950435	-1085816.7455
Čakov	-717309.264004	-1076492.5875
Čerčany	-726147.316804	-1071694.0628
Čejkovice	-681180.743804	-1084140.07889
Český Šternberk	-710592.328242	-1078649.95619
Dobrovítov	-683423.696578	-1085008.973
Čtyřkoly	-725095.689133	-1069497.21367
Medonosy	-731807.234581	-999566.305662
Tupadly	-733593.005817	-1003871.82456
Sedlec	-714088.689856	-1022626.05709
Rokytá	-703450.896748	-995229.53807
Josefův Důl	-703977.450659	-1007188.27435
Divišov	-713777.785757	-1080269.11645
Kostomlátky	-702048.701324	-1038874.61301
Pětihosty	-725621.667123	-1067987.87283
Velká Chmelištná	-804859.392699	-1036591.81165
Drahouš	-808595.177224	-1035447.47578
